STD_YM,gID,dup_fac_cnt,fac_name_1,fac_name_2,fac_name_3,fac_name_4,fac_name_5,fac_name_6,fac_name_7,fac_name_8,fac_name_9,fac_name_10,fac_name_11,fac_name_12,fac_name_13,fac_name_14,fac_name_15,fac_name_16,fac_name_17,fac_func_1,fac_func_2,fac_func_3,fac_func_4,fac_func_5,fac_func_6,fac_func_7,fac_func_8,fac_func_9,fac_func_10,fac_func_11,fac_func_12,fac_func_13,fac_func_14,fac_func_15,fac_func_16,fac_func_17,dup_fac_pop
202509,마라335840,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라335841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336832,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336834,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336840,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336843,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336844,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336845,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
202509,마라336846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
